detection_id,lat,lon,geom,antenna_id,tag_id,detection_timestamp_tz,tagged_timestamp_tz,create_user,create_date,mod_user,mod_date,program
642854,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562309,2017-04-29 19:15:38+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642855,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562311,2017-04-29 19:15:42+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642856,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562306,2017-04-29 19:15:46+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642857,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562311,2017-04-29 19:27:22+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642858,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562309,2017-04-29 19:29:18+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642859,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562306,2017-04-29 19:29:19+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642860,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562309,2017-04-29 19:44:04+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642861,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562311,2017-04-29 19:44:06+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642862,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562306,2017-04-29 19:44:07+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642863,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562309,2017-04-29 19:45:39+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
